sample,time_s,rpm,crank_phase_deg,cylinder,bank
56231,1.275079365,5874.526,0.366543,0,A
56321,1.277120181,5877.134,72.315659,5,B
56411,1.279160998,5879.745,144.296722,1,A
56501,1.281201814,5882.359,216.309784,6,B
56591,1.283242630,5884.976,288.354858,2,A
56681,1.285283447,5887.597,360.432007,7,B
56771,1.287324263,5890.221,432.541260,3,A
56861,1.289365079,5892.848,504.682678,8,B
56950,1.291383220,5895.448,576.054199,4,A
57040,1.293424036,5898.082,648.259644,9,B
57130,1.295464853,5900.718,0.497360,0,A
57220,1.297505669,5903.358,72.767395,5,B
57309,1.299523810,5905.972,144.266235,1,A
57399,1.301564626,5908.618,216.600632,6,B
57488,1.303582766,5911.238,288.163208,2,A
57578,1.305623583,5913.891,360.562134,7,B
57667,1.307641723,5916.517,432.188568,3,A
57757,1.309682540,5919.176,504.652161,8,B
57846,1.311700680,5921.808,576.342651,4,A
57935,1.313718821,5924.444,648.065063,9,B
58025,1.315759637,5927.112,0.625758,0,A
58114,1.317777778,5929.754,72.412399,5,B
58203,1.319795918,5932.399,144.231049,1,A
58292,1.321814059,5935.047,216.081757,6,B
58382,1.323854875,5937.728,288.772400,2,A
58471,1.325873016,5940.382,360.687653,7,B
58560,1.327891156,5943.040,432.635101,3,A
58649,1.329909297,5945.700,504.614716,8,B
58738,1.331927438,5948.364,576.626587,4,A
58827,1.333945578,5951.031,648.670715,9,B
58916,1.335963719,5953.700,0.747151,0,A
59004,1.337959184,5956.343,72.045547,5,B
59093,1.339977324,5959.020,144.186356,1,A
59182,1.341995465,5961.698,216.359589,6,B
59271,1.344013605,5964.380,288.565277,2,A
59360,1.346031746,5967.065,360.803467,7,B
59448,1.348027211,5969.724,432.261963,3,A
